,population,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,relaxation_time,door_size
52,,52,100.0,19.51,5.23532522474881,9.364099999999999,5.01370567907248,,1.1526315789473685
53,,53,100.0,21.27,4.864864864864866,10.443700000000002,5.542222625108327,,1.1526315789473685
54,,54,100.0,18.23,5.555555555555555,8.6035,4.689949144692082,,1.1526315789473685
55,,55,100.0,19.32,5.368763557483731,9.677300000000002,5.014861520591279,,1.1526315789473685
56,,56,100.0,18.51,5.351351351351352,9.267600000000002,4.767417215756443,,1.1526315789473685
57,,57,100.0,19.81,5.249204665959703,9.9331,4.934052505933955,,1.1526315789473685
58,,58,100.0,19.57,5.395095367847411,9.8553,4.967572716827576,,1.1526315789473685
59,,59,100.0,22.78,4.443447037701975,10.8216,6.239090959426702,,1.1526315789473685
60,,60,100.0,16.47,6.265822784810127,7.806699999999998,4.1645648165337885,,1.263157894736842
61,,61,100.0,17.06,6.118665018541409,8.251100000000001,4.216647597273925,,1.263157894736842
62,,62,100.0,18.01,5.762514551804424,8.6633,4.494337414789838,,1.263157894736842
63,,63,100.0,16.91,6.226415094339623,8.398399999999999,4.243863715097745,,1.263157894736842
64,,64,100.0,17.57,5.6701030927835046,8.6826,4.466382085009402,,1.263157894736842
65,,65,100.0,16.32,6.305732484076433,7.419600000000002,4.112909442330099,,1.263157894736842
66,,66,100.0,16.84,6.179775280898877,7.9743,4.3615577920895845,,1.263157894736842
67,,67,100.0,16.21,6.114885731933292,7.625800000000002,4.215277452315565,,1.263157894736842
68,,68,100.0,17.7,5.86145648312611,8.4372,4.530332580829943,,1.263157894736842
69,,69,100.0,18.6,5.325443786982248,8.909500000000001,4.885941567395173,,1.263157894736842
70,,70,100.0,14.76,6.996466431095406,7.3602,3.7191041008731274,,1.3736842105263158
71,,71,100.0,14.48,7.189542483660131,7.201400000000001,3.686845581718109,,1.3736842105263158
72,,72,100.0,15.49,6.657700067249495,7.745899999999999,3.918777405458921,,1.3736842105263158
73,,73,100.0,15.870000000000001,6.479057591623036,8.0287,3.963583129218085,,1.3736842105263158
74,,74,100.0,14.94,6.846473029045644,7.0874000000000015,3.7584873972319657,,1.3736842105263158
75,,75,100.0,15.18,6.932773109243698,7.0827,3.766189794162871,,1.3736842105263158
76,,76,100.0,15.8,6.604402935290193,7.538999999999999,3.9031853088926685,,1.3736842105263158
77,,77,100.0,14.9,6.9230769230769225,6.941400000000001,3.7642912917696645,,1.3736842105263158
78,,78,100.0,14.8,6.86070686070686,7.2055,3.614161365204572,,1.3736842105263158
79,,79,100.0,15.11,6.894150417827299,7.668000000000002,3.9389438670637067,,1.3736842105263158
80,,80,100.0,14.26,7.163531114327062,6.901999999999999,3.647368776241167,,1.4842105263157896
81,,81,100.0,14.27,7.231555880204529,7.022299999999999,3.6010640557109412,,1.4842105263157896
82,,82,100.0,14.55,7.226277372262773,6.814899999999999,3.3926940205641474,,1.4842105263157896
83,,83,100.0,13.94,7.2421360643745425,7.041000000000001,3.492716953486457,,1.4842105263157896
84,,84,100.0,14.32,7.205240174672489,7.451800000000002,3.5803897366999964,,1.4842105263157896
85,,85,100.0,14.280000000000001,6.9376313945339865,6.854100000000001,3.2980637401880872,,1.4842105263157896
86,,86,100.0,13.98,7.545731707317072,6.8727,3.427618914675671,,1.4842105263157896
87,,87,100.0,13.75,7.393577296489918,6.785000000000001,3.4620013771449507,,1.4842105263157896
88,,88,100.0,13.82,7.545731707317072,6.853500000000001,3.467250934155767,,1.4842105263157896
89,,89,100.0,13.72,7.349665924276169,6.737100000000001,3.398977652296067,,1.4842105263157896
90,,90,100.0,13.38,8.134757600657354,6.8542,3.257866681301019,,1.5947368421052632
91,,91,100.0,13.75,7.522796352583587,7.047,3.3165235236355985,,1.5947368421052632
92,,92,100.0,13.84,7.158351409978308,6.670900000000001,3.6094578610235986,,1.5947368421052632
93,,93,100.0,12.77,8.326324642556772,6.590699999999998,3.159510336374383,,1.5947368421052632
94,,94,100.0,12.83,8.188585607940446,6.4196,3.222113592038617,,1.5947368421052632
95,,95,100.0,13.86,7.586206896551725,6.5461,3.306122845982477,,1.5947368421052632
96,,96,100.0,13.5,7.338769458858414,6.7651,3.21881950096584,,1.5947368421052632
97,,97,100.0,12.77,8.016194331983806,6.4895,3.306946889091617,,1.5947368421052632
98,,98,100.0,13.31,7.951807228915662,6.7006,3.3296621662586343,,1.5947368421052632
99,,99,100.0,12.76,7.964601769911504,6.307,3.257156999159193,,1.5947368421052632
100,,100,100.0,12.73,8.148148148148147,6.392900000000001,3.1719911520505333,,1.7052631578947368
101,,101,100.0,13.02,7.913669064748202,6.483200000000002,3.145773781896703,,1.7052631578947368
102,,102,100.0,12.23,8.215767634854771,6.112800000000001,3.0718641989133664,,1.7052631578947368
103,,103,100.0,13.11,7.615384615384615,6.4655,3.2826942540627453,,1.7052631578947368
104,,104,100.0,13.19,8.114754098360656,6.285899999999999,3.1690147897057437,,1.7052631578947368
105,,105,100.0,12.89,7.7283372365339575,6.1995,3.2470861451990207,,1.7052631578947368
106,,106,100.0,12.790000000000001,8.048780487804878,6.341900000000001,3.222557079605128,,1.7052631578947368
107,,107,100.0,12.52,8.354430379746836,6.230300000000001,3.078597166754935,,1.7052631578947368
108,,108,100.0,12.48,8.432708688245315,6.320400000000001,3.1251899077649603,,1.7052631578947368
109,,109,100.0,12.9,8.009708737864077,6.3786000000000005,3.23377598344584,,1.7052631578947368
110,,110,99.0,11.68,8.797127468581687,6.109393939393939,2.8555745046122447,,1.8157894736842106
111,,111,100.0,12.52,8.284518828451883,6.448599999999999,3.0786698623288795,,1.8157894736842106
112,,112,100.0,12.31,8.354430379746836,6.351699999999999,3.056977465115211,,1.8157894736842106
113,,113,100.0,11.620000000000001,8.527131782945736,5.883000000000002,2.8097361391627462,,1.8157894736842106
114,,114,100.0,12.33,8.035714285714285,6.131900000000001,3.015500258345339,,1.8157894736842106
